"Group/Topic","Code_Display","Code","Description","Usage","Comment","ICASA_standard","MONDAT","Aquacrop"
"Applications","FEACD, OMACD, CHACD","AP002","Broadcast, incorporated","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP003","Banded on surface","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP004","Banded beneath surface","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP005","Applied in irrigation water","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP006","Foliar spray","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP007","Bottom of hole","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP008","On the seed","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP009","Injected","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP011","Broadcast on flooded/saturated soil, none in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP012","Broadcast on flooded/saturated soil, 15% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP013","Broadcast on flooded/saturated soil, 30% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP014","Broadcast on flooded/saturated soil, 45% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP015","Broadcast on flooded/saturated soil, 60% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP016","Broadcast on flooded/saturated soil, 75% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP017","Broadcast on flooded/saturated soil, 90% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP018","Band on saturated soil,2cm flood, 92% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP019","Deeply placed urea super granules/pellets, 95% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP020","Deeply placed urea super granules/pellets, 100% in soil","","","1","",""
"Applications","FEACD, OMACD, CHACD","AP999","Application method unknown/not given","","","1","",""
"","","","","","","","",""
"Irrigation method","IROP, IAME","IR001","Furrow, mm","","","1","","4"
"Irrigation method","IROP, IAME","IR002","Alternating furrows, mm","","","1","","4"
"Irrigation method","IROP, IAME","IR003","Flood, mm","","","1","","2"
"Irrigation method","IROP, IAME","IR004","Sprinkler, mm","","","1","","1"
"Irrigation method","IROP, IAME","IR005","Drip or trickle, mm","","","1","","5"
"Irrigation method","IROP, IAME","IR006","Flood depth, mm","","","1","",""
"Irrigation method","IROP, IAME","IR007","Water table depth, mm","","","1","",""
"Irrigation method","IROP, IAME","IR008","Percolation rate, mm day-1","","","1","",""
"Irrigation method","IROP, IAME","IR009","Bund height, mm","","","1","",""
"Irrigation method","IROP, IAME","IR010","Puddling (for Rice only)","","","1","",""
"Irrigation method","IROP, IAME","IR011","Constant flood depth, mm","","","1","",""
"Irrigation method","IROP, IAME","IR012","Subsurface (burried) drip, mm","","Jeff added for wheat FACE","","",""
"Irrigation method","IROP, IAME","IR999","Irrigation method unknown/not given","","","1","",""
"","","","","","","","",""
"auto_irrig_growth_stg","IRSTG","","","","","","",""
"auto_irrig_growth_stg","IRSTG","","","","","","",""
"auto_irrig_growth_stg","IRSTG","","","","","","",""
"auto_irrig_growth_stg","IRSTG","","","","","","",""
"","","","","","","","",""
"irrig_applied","IRRIG","Y","","","","","",""
"irrig_applied","IRRIG","N","","","","","",""
"irrig_applied","IRRIG","U","Irrigation method unknown/not given","","","","",""
"","","","","","","","",""
"soil_analys_meth_pH_buff","SAMHB","SA101","","","","","",""
"soil_analys_meth_pH_buff","SAMHB","SA102","","","","","",""
"soil_analys_meth_pH_buff","SAMHB","SA103","","","","","",""
"soil_analys_meth_pH_buff","SAMHB","SA104","","","","","",""
"soil_analys_meth_pH_buff","SAMHB","SA105","","","","","",""
"soil_analys_meth_pH_buff","SAMHB","SA199","Method unknown/not given","","","","",""
"","","","","","","","",""
"Soil P analysis method","SAMPX, SMPX","SA001","Olsen","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA002","Bray No. 1","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA003","Bray No. 2","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA004","Mehlich I (double acid, 1:5)","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA005","Anion exchange resin","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA006","Truog","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA007","Mehlich I (double acid, 1:10)","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA008","Colwell","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA009","Water","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA010","IFDC Pi strip","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA011","pH in Water","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA012","pH in KCl","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA013","Mehlich 3","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA014","Morgan's solution","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA015","NH4OAc","","","1","",""
"Soil P analysis method","SAMPX, SMPX","SA099","Method unknown/not given","","","","",""
"","","","","","","","",""
"K extraction method","SAMKE","SA201","NH4OAc","","","1","",""
"K extraction method","SAMKE","SA202","Mehlich I (1:5)","I (1:5)","","1","",""
"K extraction method","SAMKE","SA203","Mehlich I (1:10)","I (1:10)","","1","",""
"K extraction method","SAMKE","SA204","Mehlich 3","3","","1","",""
"K extraction method","SAMKE","SA299","Method unknown/not given","","","","",""
"","","","","","","","",""
"planting_material","PLMA","S","Dry seed","","","1","",""
"planting_material","PLMA","T","Transplants","","","1","",""
"planting_material","PLMA","N","Nursery","","","1","",""
"planting_material","PLMA","P","Pregerminated seed","","","1","",""
"planting_material","PLMA","R","Ratoon","","","1","",""
"planting_material","PLMA","V","Vertically planted sticks","","chp 2018-03-03","","",""
"planting_material","PLMA","H","Horizontally planted sticks","","chp 2018-03-03","","",""
"planting_material","PLMA","I","Inclined (45o) sticks","","chp 2018-03-03","","",""
"planting_material","PLMA","C","Cutting","","chp 2018-03-03","","",""
"","","","","","","","",""
"planting_distribution","PLDS","R","Rows","","","1","",""
"planting_distribution","PLDS","H","Hills","","","1","",""
"planting_distribution","PLDS","U","Uniform/Broadcast","","","1","",""
"planting_distribution","PLDS","RB","Rows on beds","","","1","",""
"planting_distribution","PLDS","N","Unknown/not given","","","1","",""
"planting_distribution","PLDS","P","Pots","","","1","",""
"","","","","","","","",""
"Residues or organic materials","OMCD","RE001","Generic crop residue","","","1","",""
"Residues or organic materials","OMCD","RE002","Green manure","","","1","",""
"Residues or organic materials","OMCD","RE003","Barnyard manure","","","1","",""
"Residues or organic materials","OMCD","RE004","Liquid manure","","","1","",""
"Residues or organic materials","OMCD","RE005","Compost","","","1","",""
"Residues or organic materials","OMCD","RE006","Bark","","","1","",""
"Residues or organic materials","OMCD","RE101","Generic legume residue","","","1","",""
"Residues or organic materials","OMCD","RE102","Cowpea residue","","","1","",""
"Residues or organic materials","OMCD","RE103","Mucuna residue","","","1","",""
"Residues or organic materials","OMCD","RE104","Peanut residue","","","1","",""
"Residues or organic materials","OMCD","RE105","Pigeon Pea residue","","","1","",""
"Residues or organic materials","OMCD","RE106","Soybean residue","","","1","",""
"Residues or organic materials","OMCD","RE107","Alfalfa residue","","","1","",""
"Residues or organic materials","OMCD","RE108","Chickpea forage","","","1","",""
"Residues or organic materials","OMCD","RE109","Faba bean","","","1","",""
"Residues or organic materials","OMCD","RE110","Pea residue","","","1","",""
"Residues or organic materials","OMCD","RE111","Hairy vetch","","","1","",""
"Residues or organic materials","OMCD","RE201","Generic cereal crop residue","","","1","",""
"Residues or organic materials","OMCD","RE202","Pearl millet residue","","","1","",""
"Residues or organic materials","OMCD","RE203","Maize residue","","","1","",""
"Residues or organic materials","OMCD","RE204","Sorghum residue","","","1","",""
"Residues or organic materials","OMCD","RE205","Wheat residue","","","1","",""
"Residues or organic materials","OMCD","RE206","Barley","","","1","",""
"Residues or organic materials","OMCD","RE207","Rice","","","1","",""
"Residues or organic materials","OMCD","RE208","Rye","","","1","",""
"Residues or organic materials","OMCD","RE301","Generic grass","","","1","",""
"Residues or organic materials","OMCD","RE302","Bahiagrass","","","1","",""
"Residues or organic materials","OMCD","RE303","Bermudagrass","","","1","",""
"Residues or organic materials","OMCD","RE304","Switchgrass","","","1","",""
"Residues or organic materials","OMCD","RE305","brachiaria","","","1","",""
"Residues or organic materials","OMCD","RE306","forage grasses","","","1","",""
"Residues or organic materials","OMCD","RE401","Bush fallow residue","","","1","",""
"Residues or organic materials","OMCD","RE402","Sugarcane","","","1","",""
"Residues or organic materials","OMCD","RE403","Pineapple","","","1","",""
"Residues or organic materials","OMCD","RE999","Decomposed crop residue","","","1","",""
"","","","","","","","",""
"Tillage implements","TIIMP","TI001","V-Ripper","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI002","Subsoiler","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI003","Moldboard plow 20 cm depth","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI004","Chisel plow, sweeps","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI005","Chisel plow, straight point","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI006","Chisel plow, twisted shovels","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI007","Disk plow","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI008","Disk, 1-way","","","1","",""
"Tillage implements","TIIMP","TI009","Disk, tandem","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI010","Disk, double disk","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI011","Cultivator, field","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI012","Cultivator, row","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI013","Cultivator, ridge till","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI014","Harrow, spike","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI015","Harrow, tine","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI016","Lister","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI017","Bedder","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI018","Blade cultivator","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI019","Fertilizer applicator, anhydr","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI020","Manure injector","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI022","Mulch treader","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI023","Plank","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI024","Roller packer","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI025","Drill, double-disk","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI026","Drill, deep furrow","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI031","Drill, no-till","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI032","Drill, no-till","","Into sod, generic soil conditions","1","",""
"Tillage implements","TIIMP","TI033","Planter, row","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI034","Planter, no-till","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI035","Planting stick (hand)","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI036","Matraca hand planter","","Brazilian-style jab planter that meters seed","1","",""
"Tillage implements","TIIMP","TI037","Rod weeder","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI038","Rotary hoe","","Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI039","Roller harrow, cultipacker","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI041","Moldboard plow 25 cm","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI042","Moldboard plow 30 cm","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI043","Strip tillage","","One pass, Generic soil conditions","1","",""
"Tillage implements","TIIMP","TI044","Laser leveling","","Effects vary spatially","1","",""
"","","","","","","","",""
"","","","","","","","",""
"Mulch Color","MLCOL","MC001","Transparent","","Vers 1.1","1","",""
"Mulch Color","MLCOL","MC002","White","","Vers 1.1","1","",""
"Mulch Color","MLCOL","MC003","Black","","Vers 1.1","1","",""
"Mulch Color","MLCOL","MC004","Brown","","Vers 1.1","1","",""
"Mulch Color","MLCOL","MC005","Gray","","Vers 1.1","1","",""
"Mulch Color","MLCOL","MC006","Light straw color","","Vers 1.1","1","",""
"","","","","","","","",""
"Mulch Type","MLTP, MLTPR","MT001","Polyethylene sheet - solid","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT002","Polyethylene sheet - perforated","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT003","Landscape fabric","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT004","Paper","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT005","Grass clippings","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT006","Pine needles","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT007","Straw","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT008","Foil","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT009","Foil coated plastic","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT010","Photodegradable plastic","","Vers 1.1","1","",""
"Mulch Type","MLTP, MLTPR","MT999","Not given/unknown","","","1","",""
"","","","","","","","",""
"Management Event Type","MGMT_EVENT","planting","Planting, transplanting, sowing","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","fertilizer","fertilizer application","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","irrigation","irrigation application","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","tillage","tillage application","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","organic_material","organic material application","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","harvest","harvest","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","bed_prep","raised bed preparation","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","inorg_mulch","placement of inorganic mulch (e.g., plastic sheeting)","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","Inorg_mul_rem","removal of inorganic mulch","","2020-06-23, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","chemicals","chemicals application","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","mowing","mowing","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","observation","observation","","2020-05-05, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","weeding","mechanical extraction of weeds","","2020-06-23, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","puddling","paddy system preparation, puddling","","2020-06-23, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","flood_level","paddy system flood level control","","2020-06-23, CHP, ARDN","","",""
"Management Event Type","MGMT_EVENT","other","various","","2020-05-05, CHP, ARDN","","",""
"","","","","","","","",""
"Fertilizers","FEOCD, FEOCD_TOT","Mg","Magnesium","","","1","",""
"Fertilizers","FEOCD, FEOCD_TOT","Mn","Manganese","","","1","",""
"Fertilizers","FEOCD, FEOCD_TOT","Cd","Cadmium","","","1","",""
"Fertilizers","FEOCD, FEOCD_TOT","Zn","Zinc","","","1","",""
"Fertilizers","FEOCD, FEOCD_TOT","S","Sulfur","","","1","",""
"Fertilizers","FEOCD, FEOCD_TOT","Fe","Iron","","","1","",""
"Fertilizers","FEOCD, FEOCD_TOT","Se","Selenium","","","1","",""
"Fertilizers","FEOCD, FEOCD_TOT","B","Boron","","","","",""
"","","","","","","","",""
"Fertilizers","FECD, FE_CD","FE001","Ammonium nitrate","","","1","",""
"Fertilizers","FECD, FE_CD","FE002","Ammonium sulfate","","","1","",""
"Fertilizers","FECD, FE_CD","FE003","Ammonium nitrate sulfate","","","1","",""
"Fertilizers","FECD, FE_CD","FE004","Anhydrous ammonia","","","1","",""
"Fertilizers","FECD, FE_CD","FE005","Urea","","","1","",""
"Fertilizers","FECD, FE_CD","FE006","Diammonium phosphate (DAP)","","","1","",""
"Fertilizers","FECD, FE_CD","FE007","Monoammonium phosphate (MAP)","","","1","",""
"Fertilizers","FECD, FE_CD","FE008","Calcium nitrate","","","1","",""
"Fertilizers","FECD, FE_CD","FE009","Aqua ammonia","","","1","",""
"Fertilizers","FECD, FE_CD","FE010","Urea ammonium nitrate","","","1","",""
"Fertilizers","FECD, FE_CD","FE011","Calcium ammonium nitrate","","","1","",""
"Fertilizers","FECD, FE_CD","FE012","Ammonium poly-phosphate","","","1","",""
"Fertilizers","FECD, FE_CD","FE013","Single super phosphate","","","1","",""
"Fertilizers","FECD, FE_CD","FE014","Triple super phosphate (TSP)","","","1","",""
"Fertilizers","FECD, FE_CD","FE015","Liquid phosphoric acid","","","1","",""
"Fertilizers","FECD, FE_CD","FE016","Potassium chloride (muriate of potash, MOP)","","","1","",""
"Fertilizers","FECD, FE_CD","FE017","Potassium nitrate (nitrate of potash)","","","1","",""
"Fertilizers","FECD, FE_CD","FE018","Potassium sulfate","","","1","",""
"Fertilizers","FECD, FE_CD","FE019","Urea super granules","","","1","",""
"Fertilizers","FECD, FE_CD","FE020","Dolomitic limestone","","","1","",""
"Fertilizers","FECD, FE_CD","FE021","Rock phosphate","","","1","",""
"Fertilizers","FECD, FE_CD","FE022","Calcitic limestone","","","1","",""
"Fertilizers","FECD, FE_CD","FE023","Urea ammonium sulfate","","","1","",""
"Fertilizers","FECD, FE_CD","FE024","Rhizobium","","","1","",""
"Fertilizers","FECD, FE_CD","FE026","Calcium hydroxide (hydrated lime)","","","1","",""
"Fertilizers","FECD, FE_CD","FE027","NPK - ammonium nitrate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE028","NPK - urea","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE029","NPK - ammonium nitrate urea","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE030","NPK - user blend","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE036","32% UAN (35% urea + 45% A.N.)","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE037","30% UAN (33% urea + 42% A.N.)","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE038","28% UAN (30% urea + 40% A.N.)","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE039","21% AN (60% A.N. + 40% water)","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE040","19% AN (54% A.N. + 46% water)","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE041","Ammonium nitrate limestone","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE042","Ammonionated super phosphate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE043","Ammonium phosphate nitrate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE044","Ammonium phosphate sulfate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE045","Urea ammonium phosphate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE046","Urea phosphate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE050","Calcium cyanamide","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE051","Calcium nitrate-urea","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE055","Sodium nitrate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE056","Magnesium nitrate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE057","Ammonium thiosulfate** (60% solution)","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE058","Ammonium polysulfide","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE059","Ammonium sulfate solution","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE060","Ammonium sulfate - nitrate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE061","Ferrous ammonium sulfate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE062","Liquid ammonium polyphosphate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE063","Nitric phosphate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE064","Nitric acid","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE065","Urea solution","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE066","Zinc ammonium sulfate solution","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE067","Zinc manganese ammonium sulfate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE068","Ammonium metaphosphate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE069","Ammonium phosphate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE070","Potassium - sodium nitrate","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE201","ESN","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE202","NBTPT","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE203","DCD (dicyandiamide)","","2020-06-25, chp","3","",""
"Fertilizers","FECD, FE_CD","FE204","SuperU","","2020-06-25, chp","3","",""
